DATE,NC000349Q
2002-01-01,80.154
2002-04-01,80.651
2002-07-01,80.91
2002-10-01,81.441
2003-01-01,82.032
2003-04-01,82.13
2003-07-01,82.415
2003-10-01,82.854
2004-01-01,83.574
2004-04-01,84.322
2004-07-01,84.541
2004-10-01,85.209
2005-01-01,85.665
2005-04-01,86.508
2005-07-01,87.278
2005-10-01,87.798
2006-01-01,88.295
2006-04-01,89.282
2006-07-01,89.677
2006-10-01,89.443
2007-01-01,90.362
2007-04-01,91.369
2007-07-01,91.622
2007-10-01,92.398
2008-01-01,93.243
2008-04-01,94.517
2008-07-01,95.253
2008-10-01,93.707
2009-01-01,93.181
2009-04-01,93.864
2009-07-01,94.383
2009-10-01,94.949
2010-01-01,95.223
2010-04-01,95.679
2010-07-01,95.753
2010-10-01,96.163
2011-01-01,96.953
2011-04-01,98.281
2011-07-01,98.691
2011-10-01,98.597
2012-01-01,99.388
2012-04-01,99.985
2012-07-01,100.182
2012-10-01,100.445
2013-01-01,100.891
2013-04-01,101.293
2013-07-01,101.59
2013-10-01,101.611
2014-01-01,102.296
2014-04-01,103.051
2014-07-01,103.281
2014-10-01,102.69
2015-01-01,102.485
2015-04-01,103.187
2015-07-01,103.488
2015-10-01,103.013
2016-01-01,103.291
2016-04-01,104.095
2016-07-01,104.495
2016-10-01,104.602
2017-01-01,105.365
2017-04-01,105.819
2017-07-01,106.222
2017-10-01,106.529
2018-01-01,107.454
2018-04-01,108.24
2018-07-01,108.621
2018-10-01,108.641
2019-01-01,109.006
2019-04-01,109.871
2019-07-01,110.211
2019-10-01,110.318
2020-01-01,110.832
2020-04-01,110.496
2020-07-01,111.507
2020-10-01,111.617
